Kanata	0004
C=	1
I	              0	              0	  0
S	              0	          0	F
L	              0	          0	PC 00000000
C	1
I	              1	              1	  0
S	              1	          0	F
L	              1	          0	PC 00000004
S	              0	          0	D
L	              0	          0	PC 00000000
S	              0	          0	D
L	              0	          0	 Scoreboard Set: 01 00000000
C	1
I	              2	              2	  0
S	              2	          0	F
L	              2	          0	PC 00000008
S	              0	          0	E
L	              0	          0	 Standard instr 
S	              1	          0	D
L	              1	          0	PC 00000004
S	              1	          0	D
L	              1	          0	 Scoreboard Set: 02 00000000
C	1
S	              0	          0	W
L	              0	          0	 Scoreboard: 01 00000001
I	              3	              3	  0
S	              3	          0	F
L	              3	          0	PC 0000000c
S	              1	          0	E
L	              1	          0	 Standard instr 
S	              2	          0	D
L	              2	          0	PC 00000008
S	              2	          0	D
L	              2	          0	 Scoreboard Set: 03 00000000
C	1
S	              1	          0	W
L	              1	          0	 Scoreboard: 02 00000001
I	              4	              4	  0
S	              4	          0	F
L	              4	          0	PC 00000010
S	              2	          0	E
L	              2	          0	 Standard instr 
S	              3	          0	D
L	              3	          0	PC 0000000c
S	              3	          0	D
L	              3	          0	 Scoreboard Set: 04 00000000
R	              0	              0	          0
C	1
S	              2	          0	W
L	              2	          0	 Scoreboard: 03 00000001
I	              5	              5	  0
S	              5	          0	F
L	              5	          0	PC 00000014
S	              3	          0	E
L	              3	          0	 Standard instr 
S	              4	          0	D
L	              4	          0	PC 00000010
S	              4	          0	D
L	              4	          0	 Scoreboard Set: 05 00000000
R	              1	              1	          0
C	1
S	              3	          0	W
L	              3	          0	 Scoreboard: 04 00000001
I	              6	              6	  0
S	              6	          0	F
L	              6	          0	PC 00000018
S	              4	          0	E
L	              4	          0	 Standard instr 
S	              5	          0	D
L	              5	          0	PC 00000014
S	              5	          0	D
L	              5	          0	 Scoreboard Set: 06 00000000
R	              2	              2	          0
C	1
S	              4	          0	W
L	              4	          0	 Scoreboard: 05 00000001
I	              7	              7	  0
S	              7	          0	F
L	              7	          0	PC 0000001c
S	              5	          0	E
L	              5	          0	 Standard instr 
S	              6	          0	D
L	              6	          0	PC 00000018
